Carimbo de data/hora,Distrito,Concelho,Freguesia,Nome ,Categoria,Contacto,Outro contacto,Email,Morada,Localização - Google Maps,Imagem,Entregam em casa?,Observações,Facebook,Instagram,Twitter,Website,Segunda-feira,Terça-feira,Quarta-feira,Quinta-feira,Sexta-feira,VALIDADO
4/5/2020 1:33:08,Viseu,Carregal do Sal,Cabanas de Viriato,Farmácia Ramos,Farmácia,232698244,,,"R. Viriato 268, 3430-649 Cabanas de Viriato",https://goo.gl/maps/5UfX8SUNKvTCNqdn7,https://drive.google.com/open?id=1aCZYkZPomJhvhU99rUBbdgA6s0_30xqD,,,https://www.facebook.com/farmaciaramoscabanas/,,,,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,FALSE
4/5/2020 1:36:01,Viseu,Carregal do Sal,Carregal do Sal,Farmácia Moderna,Farmácia,232968101,,f.moderna@gmail.com,"R. São João de Deus 1, 3430-055 Carregal do Sal",https://goo.gl/maps/iJuH6zrjm9APRv9d7,https://drive.google.com/open?id=1FuqXW82K4_5ziMX2YPglAna_z7TAQiJx,Sim,,https://www.facebook.com/farmaciamodernacarregaldosal/,,,,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,FALSE
4/5/2020 1:37:39,Viseu,Carregal do Sal,Oliveira do Conde,Casa Antunes,Mercado,232968771,,,3430-313 Carregal do Sal,https://goo.gl/maps/Xa1xUcrkAvLPud5h6,,,,,,,,"09:00 - 11:00 , 15:00 - 19:00","09:00 - 11:00 , 15:00 - 19:00","09:00 - 11:00 , 15:00 - 19:00","09:00 - 11:00 , 15:00 - 19:00","09:00 - 11:00 , 15:00 - 19:00",FALSE
4/5/2020 1:39:37,Viseu,Carregal do Sal,Cabanas de Viriato,Coviran - Salinas,Mercado,232961695,,,3430-690 Cabanas de Viriato,https://goo.gl/maps/PxKE2kmm6cPL7R8e7,,,,,,,https://carregalalimentar.weebly.com/contactos.html,"09:00 - 13:00 , 14:30 - 19:00","09:00 - 13:00 , 14:30 - 19:00","09:00 - 13:00 , 14:30 - 19:00","09:00 - 13:00 , 14:30 - 19:00","09:00 - 13:00 , 14:30 - 19:00",FALSE
4/5/2020 1:41:26,Viseu,Carregal do Sal,Carregal do Sal,Minimercado Celestina,Mercado,963167335,232961077,,"3430-211 Carregal do Sal
",https://goo.gl/maps/NEZ53Y5JMVNWMRk96,,,,https://www.facebook.com/Minimercado-Celestina-102352701186715/,,,,"09:30 - 12:30 , 15:30 - 18:30","09:30 - 12:30 , 15:30 - 18:30","09:30 - 12:30 , 15:30 - 18:30","09:30 - 12:30 , 15:30 - 18:30","09:30 - 12:30 , 15:30 - 18:30",FALSE
4/5/2020 1:43:05,Viseu,Carregal do Sal,Carregal do Sal,Talho Luís,Talho,232969204,,,"R. São João de Deus 12, 3430-009 Carregal do Sal",https://goo.gl/maps/LGpKcHQxHKiaTt5p6,,,,https://www.facebook.com/talhodoluis.fumeiroflordesal,,,,"09:00 - 13:00 , 14:30 - 19:00","09:00 - 13:00 , 14:30 - 19:00","09:00 - 13:00 , 14:30 - 19:00","09:00 - 13:00 , 14:30 - 19:00","09:00 - 13:00 , 14:30 - 19:00",FALSE
4/5/2020 1:46:35,Viseu,Carregal do Sal,Carregal do Sal,Quinta de Cabriz,Restaurante,232961222,,,3430-039 Carregal do Sal,https://goo.gl/maps/VxSifeZ9qk78o5uL6,https://drive.google.com/open?id=1zMLo8RJymVW5_3ob2HMyXNEr9PWmQYYu,,,https://www.facebook.com/quinta.cabriz/,,,https://cabriz.pt/restaurante/,12:00 - 15:00,12:00 - 15:00,12:00 - 15:00,12:00 - 15:00,12:00 - 15:00,FALSE
4/5/2020 1:48:32,Viseu,Carregal do Sal,Parada,J. Duarte Padaria,Padaria,232890220,,,"Av. Sá Carneiro 35, 3430-751 Parada",https://goo.gl/maps/mPGJ68Hhg7CEanDP6,,,,,,,,08:30 - 19:00,08:30 - 19:00,08:30 - 19:00,08:30 - 19:00,08:30 - 19:00,FALSE
4/5/2020 1:51:50,Viseu,Carregal do Sal,Carregal do Sal,Finanças,Serviço Administrativo,968484811,,,"R. António Silvestre Ferreira Nobre 121, 3430-047 Carregal do Sal",https://goo.gl/maps/CmALgfZnnryw9x2Y7,,,Apenas por telemóvel,,,,,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,09:00 - 16:00,FALSE
4/5/2020 1:55:24,Viseu,Carregal do Sal,Oliveira do Conde,EcoCentro Carregal do Sal,Recolha de Lixo,933093786,,,"Oliveira do Conde, Carregal do Sal",https://goo.gl/maps/R2G5Up6pTcQZG8Lo7,,,,,,,,ENCERRADO,ENCERRADO,ENCERRADO,"09:00 - 13:00 , 14:00 - 18:00",ENCERRADO,FALSE
